objID,ra,dec,z,lgm_tot_p50,sfr_tot_p50,oh_p50
1237659150995685542,221.936721937666,55.2307732076498,0.04421175,9.800632,-0.3691489,8.643184
1237665372258763065,237.689133019894,20.2483359606459,0.03594737,9.743217,-0.1570139,8.848401
1237654953207202229,254.891189956426,39.0167168791079,0.03449943,10.19366,-0.05794041,9.045347
1237662638516928789,226.58689926985,12.5209294844107,0.03317944,9.69856,-1.109864,9.00494
1237665178988511457,224.67347089296,25.486535805613,0.04566987,9.895464,-0.2361486,8.806512
1237661949734617285,224.273492443731,9.54612364979985,0.03313573,9.609654,-0.6675987,8.54765
1237665548361728185,235.469753552476,17.4395689341362,0.04970047,10.10815,0.1858849,8.991821
1237662640661594622,249.222511143186,22.9392869826991,0.03056033,9.351598,-0.4064286,8.780647
1237665106504777991,245.41565170358,19.0002556041475,0.0349179,9.511771,-1.024409,8.601604
1237665026515730562,185.062220208626,36.1509122293711,0.04109977,9.973316,0.04392953,9.019056
1237657874869780583,150.904085749738,45.2987192043328,0.04135794,10.04072,0.04135087,9.106744
1237665429701984384,199.249009438569,29.9525642677463,0.03739769,10.05254,-0.002365295,9.102266
1237671261206741016,151.902489130791,14.6171710293428,0.03832701,10.28232,0.7704259,9.093101
1237651539262308488,242.029059159605,53.39070919856,0.04104334,9.988593,0.07175189,9.04963
1237671956443955381,203.334627676687,3.92498841447155,0.03529167,10.32976,-0.08338694,8.907653
1237668495236399219,155.624438969925,15.096409485818,0.0456054,9.654245,0.09097218,8.942101
1237667536399630511,157.106463649559,21.2294330986219,0.03645131,9.327168,-0.1337766,8.604004
1237667782287556636,159.723420779756,20.1546038866717,0.03221909,9.639877,-0.02198007,8.942318
1237665532255010955,229.029849912713,20.8420131955847,0.0402544,9.95766,0.170256,9.051919
1237661212581691633,218.414915247116,46.0007352611339,0.03638719,9.644678,-0.2568829,9.236833
1237661949178085500,178.648632851761,11.8308809186337,0.03887172,9.942647,0.2302731,9.068651
1237661872415571975,220.979174171375,38.5899149431902,0.03186667,9.333598,0.02884069,8.769155
1237651252561117353,133.850526975885,54.9999654977013,0.04452989,10.04766,-0.4553071,9.012505
1237659330848424120,239.427299998306,45.940598267357,0.03948154,9.420451,-0.3212193,8.759851
1237667211045372095,133.201063667774,19.3492296396366,0.03698431,9.650627,0.08278482,8.920221
1237661212581101721,216.484221627537,46.4497182373614,0.03310876,9.285775,-0.3304739,8.705734
